LocalTime,Power(MW)
01/01/26 00:00,0.0
01/01/26 00:05,0.0
01/01/26 00:10,0.0
01/01/26 00:15,0.0
01/01/26 00:20,0.0
01/01/26 00:25,0.0
01/01/26 00:30,0.0
01/01/26 00:35,0.0
01/01/26 00:40,0.0
01/01/26 00:45,0.0
01/01/26 00:50,0.0
01/01/26 00:55,0.0
01/01/26 01:00,0.0
01/01/26 01:05,0.0
01/01/26 01:10,0.0
01/01/26 01:15,0.0
01/01/26 01:20,0.0
01/01/26 01:25,0.0
01/01/26 01:30,0.0
01/01/26 01:35,0.0
01/01/26 01:40,0.0
01/01/26 01:45,0.0
01/01/26 01:50,0.0
01/01/26 01:55,0.0
01/01/26 02:00,0.0
01/01/26 02:05,0.0
01/01/26 02:10,0.0
01/01/26 02:15,0.0
01/01/26 02:20,0.0
01/01/26 02:25,0.0
01/01/26 02:30,0.0
01/01/26 02:35,0.0
01/01/26 02:40,0.0
01/01/26 02:45,0.0
01/01/26 02:50,0.0
01/01/26 02:55,0.0
01/01/26 03:00,0.0
01/01/26 03:05,0.0
01/01/26 03:10,0.0
01/01/26 03:15,0.0
01/01/26 03:20,0.0
01/01/26 03:25,0.0
01/01/26 03:30,0.0
01/01/26 03:35,0.0
01/01/26 03:40,0.0
01/01/26 03:45,0.0
01/01/26 03:50,0.0
01/01/26 03:55,0.0
01/01/26 04:00,0.0
01/01/26 04:05,0.0
01/01/26 04:10,0.0
01/01/26 04:15,0.0
01/01/26 04:20,0.0
01/01/26 04:25,0.0
01/01/26 04:30,0.0
01/01/26 04:35,0.0
01/01/26 04:40,0.0
01/01/26 04:45,0.0
01/01/26 04:50,0.0
01/01/26 04:55,0.0
01/01/26 05:00,0.0
01/01/26 05:05,0.0
01/01/26 05:10,0.0
01/01/26 05:15,0.0
01/01/26 05:20,0.0
01/01/26 05:25,0.0
01/01/26 05:30,0.0
01/01/26 05:35,0.0
01/01/26 05:40,0.0
01/01/26 05:45,0.0
01/01/26 05:50,0.0
01/01/26 05:55,0.0
01/01/26 06:00,0.0
01/01/26 06:05,0.8029482184015332
01/01/26 06:10,1.5588809333632336
01/01/26 06:15,2.1264432886091225
01/01/26 06:20,2.9979805406229767
01/01/26 06:25,4.032389967857665
01/01/26 06:30,4.610101262203598
01/01/26 06:35,5.347459999067272
01/01/26 06:40,5.864655529298639
01/01/26 06:45,7.379062245927877
01/01/26 06:50,7.69407356641959
01/01/26 06:55,8.16834869743571
01/01/26 07:00,9.569666533917397
01/01/26 07:05,9.561525604518037
01/01/26 07:10,10.568409213629717
01/01/26 07:15,12.069119329498767
01/01/26 07:20,12.934451071037374
01/01/26 07:25,13.476997172781298
01/01/26 07:30,14.505750120139739
01/01/26 07:35,14.777763609653082
01/01/26 07:40,14.477283564634492
01/01/26 07:45,17.354235286323657
01/01/26 07:50,15.83073560317525
01/01/26 07:55,17.14730347256699
01/01/26 08:00,18.016345478953095
01/01/26 08:05,16.626181286667947
01/01/26 08:10,17.9182459955634
01/01/26 08:15,19.263184278436533
01/01/26 08:20,20.10627717404659
01/01/26 08:25,20.993172114556593
01/01/26 08:30,22.450635836101096
01/01/26 08:35,22.03411577199368
01/01/26 08:40,23.99383591022558
01/01/26 08:45,22.728818530379066
01/01/26 08:50,24.80576821320062
01/01/26 08:55,24.10158180988732
01/01/26 09:00,24.936471973234216
01/01/26 09:05,26.761602418114794
01/01/26 09:10,24.043142080944023
01/01/26 09:15,26.50763800547809
01/01/26 09:20,28.02886443051156
01/01/26 09:25,24.84541464936091
